Table,Field,Type,Description,Constraints
users,id,string,Document ID (auto),PRIMARY KEY
users,nama,string,Nama lengkap pengguna,REQUIRED
users,email,string,Email pengguna,REQUIRED | UNIQUE
users,nim,string,NIM santri,OPTIONAL
users,fakultas,string,Fakultas santri,OPTIONAL
users,role,string,Role pengguna,"REQUIRED | DEFAULT: 'santri' | VALUES: admin, dewan_guru, santri"
users,statusAktif,boolean,Status aktif pengguna,REQUIRED | DEFAULT: true
users,poin,number,Total poin yang dikumpulkan,REQUIRED | DEFAULT: 0
users,totalKehadiran,number,Total kehadiran,REQUIRED | DEFAULT: 0
users,streakHarian,number,Streak kehadiran berturut-turut,OPTIONAL | DEFAULT: 0
users,maxStreak,number,Streak maksimal yang pernah dicapai,OPTIONAL | DEFAULT: 0
users,rfidCardId,string,ID kartu RFID santri,OPTIONAL
users,fotoProfil,string,URL foto profil (Firebase Storage),OPTIONAL
users,notificationEnabled,boolean,Status notifikasi,OPTIONAL | DEFAULT: true
users,language,string,Bahasa,"OPTIONAL | DEFAULT: 'id' | VALUES: id, en"
users,level,number,Level gamifikasi,OPTIONAL | DEFAULT: 1
users,exp,number,Experience points,OPTIONAL | DEFAULT: 0
users,tanggalDaftar,timestamp,Tanggal pendaftaran,REQUIRED | DEFAULT: serverTimestamp()
users,createdAt,timestamp,Waktu pembuatan,REQUIRED | DEFAULT: serverTimestamp()
users,updatedAt,timestamp,Waktu update terakhir,REQUIRED | DEFAULT: serverTimestamp()

jadwal,id,string,Document ID (auto),PRIMARY KEY
jadwal,namaKegiatan,string,Nama kegiatan,REQUIRED
jadwal,jenisKegiatan,string,Jenis kegiatan,"REQUIRED | VALUES: kajian, kegiatan_umum, ujian, khusus"
jadwal,tanggal,timestamp,Tanggal kegiatan,REQUIRED
jadwal,waktuMulai,string,Waktu mulai,REQUIRED | FORMAT: HH:mm (08:00)
jadwal,waktuSelesai,string,Waktu selesai,REQUIRED | FORMAT: HH:mm (10:00)
jadwal,lokasi,string,Lokasi kegiatan,REQUIRED
jadwal,deskripsi,string,Deskripsi kegiatan,OPTIONAL
jadwal,tema,string,Tema kajian (khusus kajian),OPTIONAL
jadwal,pemateri,string,Pemateri (khusus kajian),OPTIONAL
jadwal,kategori,string,Kategori,"OPTIONAL | DEFAULT: 'umum' | VALUES: umum, khusus, wajib"
jadwal,targetPeserta,array,Target peserta,"OPTIONAL | DEFAULT: ['all'] | VALUES: ['santri'], ['dewan_guru'], ['all']"
jadwal,maxPeserta,number,Maksimal peserta,OPTIONAL | DEFAULT: 0 | NOTE: 0 = unlimited
jadwal,jumlahPeserta,number,Jumlah peserta terdaftar,OPTIONAL | DEFAULT: 0
jadwal,requiresPresensi,boolean,Apakah memerlukan presensi,REQUIRED | DEFAULT: true
